Category: All categories

Week,Health care: (Portugal)
2017-01-01,52
2017-01-08,83
2017-01-15,51
2017-01-22,76
2017-01-29,67
2017-02-05,54
2017-02-12,100
2017-02-19,76
2017-02-26,70
2017-03-05,84
2017-03-12,57
2017-03-19,68
2017-03-26,45
2017-04-02,77
2017-04-09,59
2017-04-16,58
2017-04-23,51
2017-04-30,55
2017-05-07,61
2017-05-14,74
2017-05-21,79
2017-05-28,52
2017-06-04,63
2017-06-11,23
2017-06-18,66
2017-06-25,67
2017-07-02,42
2017-07-09,76
2017-07-16,41
2017-07-23,51
2017-07-30,42
2017-08-06,28
2017-08-13,52
2017-08-20,54
2017-08-27,48
2017-09-03,31
2017-09-10,52
2017-09-17,82
2017-09-24,42
2017-10-01,51
2017-10-08,43
2017-10-15,47
2017-10-22,54
2017-10-29,53
2017-11-05,72
2017-11-12,50
2017-11-19,75
2017-11-26,61
2017-12-03,59
2017-12-10,31
2017-12-17,59
2017-12-24,38
2017-12-31,48
