Category: All categories

Week,Life insurance: (Portugal)
2018-01-07,49
2018-01-14,30
2018-01-21,32
2018-01-28,77
2018-02-04,100
2018-02-11,99
2018-02-18,95
2018-02-25,53
2018-03-04,74
2018-03-11,43
2018-03-18,42
2018-03-25,83
2018-04-01,68
2018-04-08,26
2018-04-15,53
2018-04-22,51
2018-04-29,81
2018-05-06,49
2018-05-13,45
2018-05-20,69
2018-05-27,59
2018-06-03,50
2018-06-10,77
2018-06-17,53
2018-06-24,53
2018-07-01,51
2018-07-08,33
2018-07-15,72
2018-07-22,60
2018-07-29,43
2018-08-05,48
2018-08-12,41
2018-08-19,54
2018-08-26,32
2018-09-02,0
2018-09-09,55
2018-09-16,66
2018-09-23,59
2018-09-30,28
2018-10-07,26
2018-10-14,54
2018-10-21,64
2018-10-28,31
2018-11-04,60
2018-11-11,60
2018-11-18,31
2018-11-25,50
2018-12-02,71
2018-12-09,46
2018-12-16,73
2018-12-23,55
2018-12-30,50
