Category: All categories

Week,Life insurance: (Portugal)
2011-01-02,50
2011-01-09,28
2011-01-16,0
2011-01-23,58
2011-01-30,56
2011-02-06,60
2011-02-13,51
2011-02-20,32
2011-02-27,0
2011-03-06,38
2011-03-13,61
2011-03-20,24
2011-03-27,41
2011-04-03,24
2011-04-10,57
2011-04-17,57
2011-04-24,55
2011-05-01,37
2011-05-08,25
2011-05-15,55
2011-05-22,38
2011-05-29,42
2011-06-05,27
2011-06-12,26
2011-06-19,0
2011-06-26,23
2011-07-03,21
2011-07-10,16
2011-07-17,50
2011-07-24,0
2011-07-31,0
2011-08-07,0
2011-08-14,0
2011-08-21,57
2011-08-28,57
2011-09-04,20
2011-09-11,27
2011-09-18,0
2011-09-25,0
2011-10-02,20
2011-10-09,23
2011-10-16,42
2011-10-23,16
2011-10-30,32
2011-11-06,19
2011-11-13,50
2011-11-20,0
2011-11-27,0
2011-12-04,39
2011-12-11,0
2011-12-18,0
2011-12-25,0
2012-01-01,59
2012-01-08,0
2012-01-15,62
2012-01-22,40
2012-01-29,23
2012-02-05,36
2012-02-12,0
2012-02-19,22
2012-02-26,28
2012-03-04,52
2012-03-11,53
2012-03-18,53
2012-03-25,27
2012-04-01,100
2012-04-08,65
2012-04-15,66
2012-04-22,82
2012-04-29,47
2012-05-06,32
2012-05-13,77
2012-05-20,33
2012-05-27,59
2012-06-03,33
2012-06-10,34
2012-06-17,56
2012-06-24,0
2012-07-01,30
2012-07-08,14
2012-07-15,52
2012-07-22,0
2012-07-29,49
2012-08-05,54
2012-08-12,32
2012-08-19,18
2012-08-26,0
2012-09-02,28
2012-09-09,46
2012-09-16,19
2012-09-23,39
2012-09-30,29
2012-10-07,36
2012-10-14,14
2012-10-21,39
2012-10-28,20
2012-11-04,37
2012-11-11,12
2012-11-18,25
2012-11-25,26
2012-12-02,51
2012-12-09,32
2012-12-16,14
2012-12-23,0
2012-12-30,34
