Category: All categories

Week,Life insurance: (Portugal)
2007-01-07,100
2007-01-14,0
2007-01-21,35
2007-01-28,0
2007-02-04,0
2007-02-11,0
2007-02-18,0
2007-02-25,28
2007-03-04,0
2007-03-11,54
2007-03-18,41
2007-03-25,0
2007-04-01,0
2007-04-08,0
2007-04-15,0
2007-04-22,0
2007-04-29,25
2007-05-06,0
2007-05-13,47
2007-05-20,0
2007-05-27,0
2007-06-03,0
2007-06-10,32
2007-06-17,0
2007-06-24,0
2007-07-01,20
2007-07-08,0
2007-07-15,29
2007-07-22,62
2007-07-29,0
2007-08-05,0
2007-08-12,0
2007-08-19,0
2007-08-26,47
2007-09-02,25
2007-09-09,0
2007-09-16,28
2007-09-23,0
2007-09-30,0
2007-10-07,27
2007-10-14,0
2007-10-21,0
2007-10-28,45
2007-11-04,25
2007-11-11,15
2007-11-18,32
2007-11-25,0
2007-12-02,16
2007-12-09,0
2007-12-16,0
2007-12-23,0
2007-12-30,0
2008-01-06,0
2008-01-13,0
2008-01-20,36
2008-01-27,29
2008-02-03,0
2008-02-10,0
2008-02-17,0
2008-02-24,25
2008-03-02,0
2008-03-09,46
2008-03-16,0
2008-03-23,21
2008-03-30,17
2008-04-06,36
2008-04-13,14
2008-04-20,0
2008-04-27,0
2008-05-04,0
2008-05-11,13
2008-05-18,31
2008-05-25,23
2008-06-01,42
2008-06-08,0
2008-06-15,31
2008-06-22,0
2008-06-29,0
2008-07-06,0
2008-07-13,0
2008-07-20,0
2008-07-27,0
2008-08-03,18
2008-08-10,29
2008-08-17,23
2008-08-24,24
2008-08-31,33
2008-09-07,14
2008-09-14,42
2008-09-21,0
2008-09-28,28
2008-10-05,17
2008-10-12,0
2008-10-19,25
2008-10-26,14
2008-11-02,0
2008-11-09,16
2008-11-16,33
2008-11-23,26
2008-11-30,27
2008-12-07,0
2008-12-14,15
2008-12-21,39
2008-12-28,0
