Category: All categories

Week,Health care: (Portugal)
2012-01-01,54
2012-01-08,56
2012-01-15,57
2012-01-22,96
2012-01-29,23
2012-02-05,81
2012-02-12,48
2012-02-19,38
2012-02-26,67
2012-03-04,49
2012-03-11,19
2012-03-18,40
2012-03-25,36
2012-04-01,15
2012-04-08,45
2012-04-15,74
2012-04-22,50
2012-04-29,68
2012-05-06,35
2012-05-13,54
2012-05-20,62
2012-05-27,35
2012-06-03,63
2012-06-10,55
2012-06-17,62
2012-06-24,75
2012-07-01,48
2012-07-08,47
2012-07-15,28
2012-07-22,55
2012-07-29,37
2012-08-05,45
2012-08-12,29
2012-08-19,21
2012-08-26,45
2012-09-02,44
2012-09-09,31
2012-09-16,71
2012-09-23,46
2012-09-30,50
2012-10-07,87
2012-10-14,50
2012-10-21,60
2012-10-28,47
2012-11-04,88
2012-11-11,97
2012-11-18,40
2012-11-25,67
2012-12-02,41
2012-12-09,28
2012-12-16,52
2012-12-23,39
2012-12-30,47
2013-01-06,96
2013-01-13,99
2013-01-20,72
2013-01-27,55
2013-02-03,55
2013-02-10,62
2013-02-17,98
2013-02-24,87
2013-03-03,43
2013-03-10,100
2013-03-17,20
2013-03-24,34
2013-03-31,72
2013-04-07,62
2013-04-14,73
2013-04-21,51
2013-04-28,49
2013-05-05,48
2013-05-12,47
2013-05-19,38
2013-05-26,88
2013-06-02,39
2013-06-09,30
2013-06-16,53
2013-06-23,41
2013-06-30,39
2013-07-07,49
2013-07-14,56
2013-07-21,43
2013-07-28,36
2013-08-04,44
2013-08-11,48
2013-08-18,20
2013-08-25,33
2013-09-01,51
2013-09-08,47
2013-09-15,55
2013-09-22,55
2013-09-29,70
2013-10-06,85
2013-10-13,60
2013-10-20,65
2013-10-27,71
2013-11-03,61
2013-11-10,50
2013-11-17,58
2013-11-24,72
2013-12-01,68
2013-12-08,70
2013-12-15,58
2013-12-22,22
2013-12-29,63
