Category: All categories

Week,Health care: (Portugal)
2014-01-05,73
2014-01-12,81
2014-01-19,80
2014-01-26,90
2014-02-02,56
2014-02-09,84
2014-02-16,82
2014-02-23,59
2014-03-02,76
2014-03-09,76
2014-03-16,61
2014-03-23,57
2014-03-30,76
2014-04-06,54
2014-04-13,58
2014-04-20,43
2014-04-27,49
2014-05-04,65
2014-05-11,88
2014-05-18,66
2014-05-25,52
2014-06-01,74
2014-06-08,77
2014-06-15,54
2014-06-22,64
2014-06-29,50
2014-07-06,77
2014-07-13,49
2014-07-20,63
2014-07-27,49
2014-08-03,12
2014-08-10,86
2014-08-17,37
2014-08-24,52
2014-08-31,48
2014-09-07,64
2014-09-14,48
2014-09-21,69
2014-09-28,60
2014-10-05,70
2014-10-12,56
2014-10-19,61
2014-10-26,80
2014-11-02,77
2014-11-09,58
2014-11-16,76
2014-11-23,69
2014-11-30,50
2014-12-07,55
2014-12-14,54
2014-12-21,71
2014-12-28,71
2015-01-04,89
2015-01-11,71
2015-01-18,97
2015-01-25,86
2015-02-01,67
2015-02-08,88
2015-02-15,52
2015-02-22,76
2015-03-01,57
2015-03-08,51
2015-03-15,34
2015-03-22,52
2015-03-29,18
2015-04-05,65
2015-04-12,70
2015-04-19,62
2015-04-26,74
2015-05-03,78
2015-05-10,65
2015-05-17,59
2015-05-24,49
2015-05-31,66
2015-06-07,74
2015-06-14,73
2015-06-21,71
2015-06-28,93
2015-07-05,100
2015-07-12,43
2015-07-19,37
2015-07-26,80
2015-08-02,63
2015-08-09,25
2015-08-16,23
2015-08-23,49
2015-08-30,35
2015-09-06,40
2015-09-13,17
2015-09-20,63
2015-09-27,75
2015-10-04,62
2015-10-11,58
2015-10-18,37
2015-10-25,77
2015-11-01,48
2015-11-08,82
2015-11-15,70
2015-11-22,72
2015-11-29,66
2015-12-06,88
2015-12-13,58
2015-12-20,46
2015-12-27,44
