Category: All categories

Week,Life insurance: (Portugal)
2009-01-04,33
2009-01-11,29
2009-01-18,0
2009-01-25,24
2009-02-01,21
2009-02-08,53
2009-02-15,100
2009-02-22,0
2009-03-01,24
2009-03-08,0
2009-03-15,17
2009-03-22,22
2009-03-29,0
2009-04-05,0
2009-04-12,46
2009-04-19,0
2009-04-26,0
2009-05-03,0
2009-05-10,0
2009-05-17,22
2009-05-24,38
2009-05-31,19
2009-06-07,0
2009-06-14,41
2009-06-21,0
2009-06-28,28
2009-07-05,22
2009-07-12,0
2009-07-19,22
2009-07-26,37
2009-08-02,39
2009-08-09,0
2009-08-16,19
2009-08-23,0
2009-08-30,0
2009-09-06,0
2009-09-13,56
2009-09-20,0
2009-09-27,0
2009-10-04,30
2009-10-11,0
2009-10-18,69
2009-10-25,19
2009-11-01,33
2009-11-08,40
2009-11-15,20
2009-11-22,0
2009-11-29,30
2009-12-06,29
2009-12-13,0
2009-12-20,27
2009-12-27,0
2010-01-03,0
2010-01-10,31
2010-01-17,25
2010-01-24,37
2010-01-31,44
2010-02-07,58
2010-02-14,26
2010-02-21,18
2010-02-28,44
2010-03-07,24
2010-03-14,0
2010-03-21,36
2010-03-28,40
2010-04-04,0
2010-04-11,21
2010-04-18,0
2010-04-25,36
2010-05-02,48
2010-05-09,31
2010-05-16,32
2010-05-23,23
2010-05-30,33
2010-06-06,0
2010-06-13,24
2010-06-20,52
2010-06-27,26
2010-07-04,36
2010-07-11,77
2010-07-18,0
2010-07-25,25
2010-08-01,40
2010-08-08,0
2010-08-15,25
2010-08-22,64
2010-08-29,38
2010-09-05,27
2010-09-12,0
2010-09-19,22
2010-09-26,0
2010-10-03,0
2010-10-10,0
2010-10-17,75
2010-10-24,38
2010-10-31,0
2010-11-07,24
2010-11-14,0
2010-11-21,0
2010-11-28,18
2010-12-05,0
2010-12-12,24
2010-12-19,0
2010-12-26,0
