Category: All categories

Week,Tobacco: (Portugal)
2014-01-05,70
2014-01-12,29
2014-01-19,73
2014-01-26,60
2014-02-02,61
2014-02-09,76
2014-02-16,67
2014-02-23,45
2014-03-02,46
2014-03-09,35
2014-03-16,37
2014-03-23,81
2014-03-30,44
2014-04-06,40
2014-04-13,64
2014-04-20,30
2014-04-27,34
2014-05-04,91
2014-05-11,43
2014-05-18,63
2014-05-25,26
2014-06-01,27
2014-06-08,46
2014-06-15,0
2014-06-22,94
2014-06-29,49
2014-07-06,34
2014-07-13,38
2014-07-20,19
2014-07-27,60
2014-08-03,36
2014-08-10,35
2014-08-17,88
2014-08-24,55
2014-08-31,100
2014-09-07,44
2014-09-14,30
2014-09-21,45
2014-09-28,65
2014-10-05,20
2014-10-12,42
2014-10-19,59
2014-10-26,35
2014-11-02,53
2014-11-09,63
2014-11-16,96
2014-11-23,36
2014-11-30,81
2014-12-07,37
2014-12-14,73
2014-12-21,44
2014-12-28,38
2015-01-04,69
2015-01-11,35
2015-01-18,51
2015-01-25,67
2015-02-01,0
2015-02-08,36
2015-02-15,40
2015-02-22,56
2015-03-01,62
2015-03-08,43
2015-03-15,25
2015-03-22,59
2015-03-29,52
2015-04-05,36
2015-04-12,51
2015-04-19,56
2015-04-26,30
2015-05-03,42
2015-05-10,68
2015-05-17,28
2015-05-24,37
2015-05-31,45
2015-06-07,35
2015-06-14,28
2015-06-21,74
2015-06-28,39
2015-07-05,62
2015-07-12,48
2015-07-19,56
2015-07-26,41
2015-08-02,24
2015-08-09,57
2015-08-16,42
2015-08-23,63
2015-08-30,46
2015-09-06,46
2015-09-13,75
2015-09-20,0
2015-09-27,18
2015-10-04,61
2015-10-11,69
2015-10-18,35
2015-10-25,61
2015-11-01,37
2015-11-08,75
2015-11-15,58
2015-11-22,48
2015-11-29,36
2015-12-06,40
2015-12-13,42
2015-12-20,39
2015-12-27,57
