Category: All categories

Week,Health care: (Portugal)
2014-01-05,100
2014-01-12,91
2014-01-19,94
2014-01-26,87
2014-02-02,90
2014-02-09,89
2014-02-16,81
2014-02-23,76
2014-03-02,65
2014-03-09,48
2014-03-16,53
2014-03-23,73
2014-03-30,76
2014-04-06,54
2014-04-13,47
2014-04-20,35
2014-04-27,66
2014-05-04,57
2014-05-11,82
2014-05-18,66
2014-05-25,71
2014-06-01,78
2014-06-08,56
2014-06-15,58
2014-06-22,83
2014-06-29,67
2014-07-06,94
2014-07-13,56
2014-07-20,86
2014-07-27,57
2014-08-03,45
2014-08-10,73
2014-08-17,45
2014-08-24,37
2014-08-31,54
2014-09-07,56
2014-09-14,45
2014-09-21,96
2014-09-28,70
2014-10-05,74
2014-10-12,65
2014-10-19,63
2014-10-26,95
2014-11-02,79
2014-11-09,24
2014-11-16,91
2014-11-23,61
2014-11-30,44
2014-12-07,33
2014-12-14,45
2014-12-21,60
2014-12-28,73
