Category: All categories

Week,Life insurance: (Portugal)
2014-01-05,14
2014-01-12,45
2014-01-19,55
2014-01-26,57
2014-02-02,63
2014-02-09,49
2014-02-16,53
2014-02-23,63
2014-03-02,37
2014-03-09,58
2014-03-16,79
2014-03-23,57
2014-03-30,100
2014-04-06,90
2014-04-13,67
2014-04-20,73
2014-04-27,83
2014-05-04,89
2014-05-11,18
2014-05-18,68
2014-05-25,72
2014-06-01,29
2014-06-08,35
2014-06-15,0
2014-06-22,48
2014-06-29,42
2014-07-06,58
2014-07-13,32
2014-07-20,65
2014-07-27,39
2014-08-03,0
2014-08-10,0
2014-08-17,33
2014-08-24,41
2014-08-31,45
2014-09-07,38
2014-09-14,74
2014-09-21,41
2014-09-28,22
2014-10-05,49
2014-10-12,51
2014-10-19,25
2014-10-26,47
2014-11-02,55
2014-11-09,51
2014-11-16,39
2014-11-23,46
2014-11-30,0
2014-12-07,16
2014-12-14,48
2014-12-21,51
2014-12-28,44
