Category: All categories

Week,Health care: (Portugal)
2017-01-01,56
2017-01-08,99
2017-01-15,63
2017-01-22,19
2017-01-29,56
2017-02-05,64
2017-02-12,88
2017-02-19,61
2017-02-26,60
2017-03-05,79
2017-03-12,55
2017-03-19,70
2017-03-26,68
2017-04-02,69
2017-04-09,43
2017-04-16,67
2017-04-23,54
2017-04-30,60
2017-05-07,79
2017-05-14,58
2017-05-21,67
2017-05-28,43
2017-06-04,63
2017-06-11,45
2017-06-18,57
2017-06-25,64
2017-07-02,44
2017-07-09,56
2017-07-16,48
2017-07-23,43
2017-07-30,55
2017-08-06,45
2017-08-13,55
2017-08-20,45
2017-08-27,66
2017-09-03,0
2017-09-10,69
2017-09-17,90
2017-09-24,43
2017-10-01,60
2017-10-08,36
2017-10-15,49
2017-10-22,61
2017-10-29,40
2017-11-05,59
2017-11-12,42
2017-11-19,59
2017-11-26,63
2017-12-03,51
2017-12-10,44
2017-12-17,37
2017-12-24,47
2017-12-31,65
2018-01-07,61
2018-01-14,67
2018-01-21,76
2018-01-28,40
2018-02-04,49
2018-02-11,49
2018-02-18,50
2018-02-25,73
2018-03-04,68
2018-03-11,66
2018-03-18,69
2018-03-25,87
2018-04-01,77
2018-04-08,71
2018-04-15,42
2018-04-22,53
2018-04-29,47
2018-05-06,63
2018-05-13,62
2018-05-20,79
2018-05-27,47
2018-06-03,47
2018-06-10,85
2018-06-17,69
2018-06-24,77
2018-07-01,56
2018-07-08,58
2018-07-15,56
2018-07-22,61
2018-07-29,55
2018-08-05,70
2018-08-12,29
2018-08-19,56
2018-08-26,76
2018-09-02,73
2018-09-09,71
2018-09-16,30
2018-09-23,83
2018-09-30,63
2018-10-07,83
2018-10-14,100
2018-10-21,51
2018-10-28,47
2018-11-04,98
2018-11-11,26
2018-11-18,66
2018-11-25,56
2018-12-02,58
2018-12-09,50
2018-12-16,50
2018-12-23,27
2018-12-30,66
