Category: All categories

Week,Health care: (Portugal)
2015-01-04,80
2015-01-11,63
2015-01-18,86
2015-01-25,76
2015-02-01,60
2015-02-08,78
2015-02-15,46
2015-02-22,68
2015-03-01,51
2015-03-08,45
2015-03-15,30
2015-03-22,46
2015-03-29,16
2015-04-05,58
2015-04-12,62
2015-04-19,55
2015-04-26,66
2015-05-03,69
2015-05-10,57
2015-05-17,53
2015-05-24,44
2015-05-31,59
2015-06-07,65
2015-06-14,64
2015-06-21,63
2015-06-28,82
2015-07-05,89
2015-07-12,38
2015-07-19,33
2015-07-26,71
2015-08-02,56
2015-08-09,22
2015-08-16,20
2015-08-23,43
2015-08-30,31
2015-09-06,35
2015-09-13,15
2015-09-20,56
2015-09-27,67
2015-10-04,55
2015-10-11,52
2015-10-18,32
2015-10-25,69
2015-11-01,43
2015-11-08,73
2015-11-15,62
2015-11-22,64
2015-11-29,59
2015-12-06,78
2015-12-13,51
2015-12-20,41
2015-12-27,39
2016-01-03,57
2016-01-10,70
2016-01-17,75
2016-01-24,100
2016-01-31,68
2016-02-07,44
2016-02-14,78
2016-02-21,71
2016-02-28,72
2016-03-06,65
2016-03-13,72
2016-03-20,43
2016-03-27,64
2016-04-03,69
2016-04-10,96
2016-04-17,68
2016-04-24,64
2016-05-01,89
2016-05-08,59
2016-05-15,49
2016-05-22,52
2016-05-29,72
2016-06-05,50
2016-06-12,62
2016-06-19,43
2016-06-26,67
2016-07-03,56
2016-07-10,56
2016-07-17,48
2016-07-24,51
2016-07-31,39
2016-08-07,73
2016-08-14,33
2016-08-21,59
2016-08-28,15
2016-09-04,63
2016-09-11,54
2016-09-18,85
2016-09-25,26
2016-10-02,73
2016-10-09,53
2016-10-16,58
2016-10-23,52
2016-10-30,50
2016-11-06,50
2016-11-13,75
2016-11-20,58
2016-11-27,54
2016-12-04,41
2016-12-11,59
2016-12-18,14
2016-12-25,29
