Category: All categories

Week,Health care: (Portugal)
2009-01-04,0
2009-01-11,25
2009-01-18,27
2009-01-25,64
2009-02-01,57
2009-02-08,73
2009-02-15,47
2009-02-22,0
2009-03-01,62
2009-03-08,0
2009-03-15,0
2009-03-22,0
2009-03-29,84
2009-04-05,60
2009-04-12,23
2009-04-19,44
2009-04-26,51
2009-05-03,49
2009-05-10,16
2009-05-17,40
2009-05-24,57
2009-05-31,19
2009-06-07,16
2009-06-14,29
2009-06-21,15
2009-06-28,50
2009-07-05,65
2009-07-12,37
2009-07-19,20
2009-07-26,92
2009-08-02,32
2009-08-09,23
2009-08-16,80
2009-08-23,24
2009-08-30,38
2009-09-06,75
2009-09-13,49
2009-09-20,48
2009-09-27,0
2009-10-04,15
2009-10-11,33
2009-10-18,47
2009-10-25,23
2009-11-01,42
2009-11-08,60
2009-11-15,39
2009-11-22,70
2009-11-29,65
2009-12-06,47
2009-12-13,47
2009-12-20,0
2009-12-27,61
2010-01-03,36
2010-01-10,100
2010-01-17,28
2010-01-24,69
2010-01-31,41
2010-02-07,48
2010-02-14,70
2010-02-21,16
2010-02-28,27
2010-03-07,27
2010-03-14,45
2010-03-21,64
2010-03-28,24
2010-04-04,30
2010-04-11,17
2010-04-18,14
2010-04-25,24
2010-05-02,22
2010-05-09,72
2010-05-16,20
2010-05-23,18
2010-05-30,42
2010-06-06,55
2010-06-13,24
2010-06-20,70
2010-06-27,30
2010-07-04,44
2010-07-11,57
2010-07-18,0
2010-07-25,65
2010-08-01,26
2010-08-08,27
2010-08-15,34
2010-08-22,32
2010-08-29,26
2010-09-05,29
2010-09-12,44
2010-09-19,60
2010-09-26,47
2010-10-03,0
2010-10-10,75
2010-10-17,61
2010-10-24,47
2010-10-31,0
2010-11-07,28
2010-11-14,40
2010-11-21,36
2010-11-28,43
2010-12-05,71
2010-12-12,46
2010-12-19,0
2010-12-26,67
