Category: All categories

Week,Life insurance: (Portugal)
2013-01-06,44
2013-01-13,0
2013-01-20,62
2013-01-27,0
2013-02-03,0
2013-02-10,26
2013-02-17,57
2013-02-24,46
2013-03-03,60
2013-03-10,13
2013-03-17,52
2013-03-24,66
2013-03-31,100
2013-04-07,76
2013-04-14,46
2013-04-21,65
2013-04-28,56
2013-05-05,91
2013-05-12,41
2013-05-19,56
2013-05-26,82
2013-06-02,42
2013-06-09,0
2013-06-16,26
2013-06-23,0
2013-06-30,43
2013-07-07,0
2013-07-14,36
2013-07-21,29
2013-07-28,32
2013-08-04,65
2013-08-11,18
2013-08-18,44
2013-08-25,42
2013-09-01,36
2013-09-08,0
2013-09-15,27
2013-09-22,58
2013-09-29,47
2013-10-06,49
2013-10-13,28
2013-10-20,93
2013-10-27,12
2013-11-03,28
2013-11-10,39
2013-11-17,18
2013-11-24,32
2013-12-01,33
2013-12-08,46
2013-12-15,16
2013-12-22,41
2013-12-29,44
2014-01-05,25
2014-01-12,38
2014-01-19,48
2014-01-26,70
2014-02-02,44
2014-02-09,50
2014-02-16,58
2014-02-23,33
2014-03-02,0
2014-03-09,25
2014-03-16,66
2014-03-23,56
2014-03-30,69
2014-04-06,78
2014-04-13,85
2014-04-20,37
2014-04-27,52
2014-05-04,71
2014-05-11,33
2014-05-18,30
2014-05-25,46
2014-06-01,0
2014-06-08,0
2014-06-15,20
2014-06-22,14
2014-06-29,33
2014-07-06,60
2014-07-13,97
2014-07-20,54
2014-07-27,0
2014-08-03,68
2014-08-10,46
2014-08-17,27
2014-08-24,44
2014-08-31,44
2014-09-07,53
2014-09-14,45
2014-09-21,47
2014-09-28,24
2014-10-05,50
2014-10-12,33
2014-10-19,25
2014-10-26,38
2014-11-02,38
2014-11-09,21
2014-11-16,70
2014-11-23,60
2014-11-30,0
2014-12-07,21
2014-12-14,0
2014-12-21,36
2014-12-28,45
