Category: All categories

Week,Life insurance: (Portugal)
2016-01-03,60
2016-01-10,33
2016-01-17,48
2016-01-24,79
2016-01-31,84
2016-02-07,69
2016-02-14,73
2016-02-21,43
2016-02-28,53
2016-03-06,68
2016-03-13,52
2016-03-20,19
2016-03-27,81
2016-04-03,68
2016-04-10,52
2016-04-17,100
2016-04-24,36
2016-05-01,29
2016-05-08,38
2016-05-15,43
2016-05-22,38
2016-05-29,27
2016-06-05,44
2016-06-12,48
2016-06-19,53
2016-06-26,35
2016-07-03,35
2016-07-10,22
2016-07-17,31
2016-07-24,49
2016-07-31,40
2016-08-07,67
2016-08-14,26
2016-08-21,30
2016-08-28,43
2016-09-04,44
2016-09-11,30
2016-09-18,52
2016-09-25,32
2016-10-02,12
2016-10-09,67
2016-10-16,19
2016-10-23,56
2016-10-30,59
2016-11-06,29
2016-11-13,24
2016-11-20,50
2016-11-27,36
2016-12-04,29
2016-12-11,33
2016-12-18,24
2016-12-25,47
2017-01-01,52
2017-01-08,60
2017-01-15,87
2017-01-22,40
2017-01-29,64
2017-02-05,57
2017-02-12,33
2017-02-19,66
2017-02-26,26
2017-03-05,31
2017-03-12,40
2017-03-19,31
2017-03-26,43
2017-04-02,47
2017-04-09,34
2017-04-16,42
2017-04-23,41
2017-04-30,29
2017-05-07,33
2017-05-14,21
2017-05-21,21
2017-05-28,62
2017-06-04,36
2017-06-11,22
2017-06-18,28
2017-06-25,31
2017-07-02,16
2017-07-09,22
2017-07-16,53
2017-07-23,45
2017-07-30,38
2017-08-06,46
2017-08-13,0
2017-08-20,39
2017-08-27,27
2017-09-03,8
2017-09-10,14
2017-09-17,20
2017-09-24,43
2017-10-01,31
2017-10-08,10
2017-10-15,26
2017-10-22,57
2017-10-29,31
2017-11-05,48
2017-11-12,40
2017-11-19,37
2017-11-26,23
2017-12-03,18
2017-12-10,25
2017-12-17,30
2017-12-24,27
2017-12-31,31
