Category: All categories

Week,Health care: (Portugal)
2012-01-01,56
2012-01-08,67
2012-01-15,100
2012-01-22,81
2012-01-29,51
2012-02-05,89
2012-02-12,60
2012-02-19,39
2012-02-26,44
2012-03-04,53
2012-03-11,41
2012-03-18,48
2012-03-25,38
2012-04-01,0
2012-04-08,54
2012-04-15,34
2012-04-22,36
2012-04-29,58
2012-05-06,42
2012-05-13,37
2012-05-20,76
2012-05-27,54
2012-06-03,51
2012-06-10,16
2012-06-17,69
2012-06-24,82
2012-07-01,52
2012-07-08,39
2012-07-15,32
2012-07-22,39
2012-07-29,45
2012-08-05,50
2012-08-12,0
2012-08-19,15
2012-08-26,49
2012-09-02,48
2012-09-09,38
2012-09-16,92
2012-09-23,24
2012-09-30,68
2012-10-07,79
2012-10-14,48
2012-10-21,39
2012-10-28,30
2012-11-04,73
2012-11-11,87
2012-11-18,74
2012-11-25,62
2012-12-02,43
2012-12-09,39
2012-12-16,54
2012-12-23,18
2012-12-30,61
