Category: All categories

Week,Health care: (Portugal)
2011-01-02,23
2011-01-09,83
2011-01-16,77
2011-01-23,35
2011-01-30,55
2011-02-06,30
2011-02-13,53
2011-02-20,79
2011-02-27,85
2011-03-06,28
2011-03-13,19
2011-03-20,31
2011-03-27,43
2011-04-03,39
2011-04-10,50
2011-04-17,35
2011-04-24,14
2011-05-01,49
2011-05-08,39
2011-05-15,23
2011-05-22,57
2011-05-29,67
2011-06-05,40
2011-06-12,41
2011-06-19,20
2011-06-26,40
2011-07-03,25
2011-07-10,60
2011-07-17,30
2011-07-24,65
2011-07-31,0
2011-08-07,30
2011-08-14,65
2011-08-21,43
2011-08-28,30
2011-09-04,57
2011-09-11,39
2011-09-18,63
2011-09-25,72
2011-10-02,58
2011-10-09,37
2011-10-16,51
2011-10-23,55
2011-10-30,21
2011-11-06,73
2011-11-13,31
2011-11-20,52
2011-11-27,48
2011-12-04,44
2011-12-11,63
2011-12-18,35
2011-12-25,22
2012-01-01,56
2012-01-08,58
2012-01-15,59
2012-01-22,99
2012-01-29,24
2012-02-05,84
2012-02-12,50
2012-02-19,39
2012-02-26,70
2012-03-04,51
2012-03-11,20
2012-03-18,41
2012-03-25,37
2012-04-01,15
2012-04-08,46
2012-04-15,77
2012-04-22,52
2012-04-29,70
2012-05-06,36
2012-05-13,56
2012-05-20,64
2012-05-27,36
2012-06-03,65
2012-06-10,57
2012-06-17,64
2012-06-24,78
2012-07-01,50
2012-07-08,48
2012-07-15,29
2012-07-22,57
2012-07-29,38
2012-08-05,47
2012-08-12,30
2012-08-19,22
2012-08-26,47
2012-09-02,46
2012-09-09,32
2012-09-16,74
2012-09-23,48
2012-09-30,52
2012-10-07,90
2012-10-14,52
2012-10-21,62
2012-10-28,49
2012-11-04,91
2012-11-11,100
2012-11-18,41
2012-11-25,69
2012-12-02,43
2012-12-09,29
2012-12-16,54
2012-12-23,41
2012-12-30,49
