Category: All categories

Week,Health care: (Portugal)
2011-01-02,48
2011-01-09,100
2011-01-16,71
2011-01-23,63
2011-01-30,60
2011-02-06,19
2011-02-13,55
2011-02-20,86
2011-02-27,55
2011-03-06,74
2011-03-13,39
2011-03-20,27
2011-03-27,0
2011-04-03,50
2011-04-10,43
2011-04-17,43
2011-04-24,48
2011-05-01,55
2011-05-08,50
2011-05-15,35
2011-05-22,59
2011-05-29,36
2011-06-05,53
2011-06-12,31
2011-06-19,39
2011-06-26,19
2011-07-03,35
2011-07-10,52
2011-07-17,64
2011-07-24,20
2011-07-31,19
2011-08-07,36
2011-08-14,55
2011-08-21,50
2011-08-28,30
2011-09-04,32
2011-09-11,40
2011-09-18,75
2011-09-25,70
2011-10-02,56
2011-10-09,42
2011-10-16,72
2011-10-23,48
2011-10-30,39
2011-11-06,62
2011-11-13,48
2011-11-20,39
2011-11-27,59
2011-12-04,62
2011-12-11,30
2011-12-18,23
2011-12-25,37
