Category: All categories

Week,Life insurance: (Portugal)
2016-01-03,94
2016-01-10,47
2016-01-17,59
2016-01-24,75
2016-01-31,77
2016-02-07,87
2016-02-14,98
2016-02-21,24
2016-02-28,50
2016-03-06,73
2016-03-13,30
2016-03-20,30
2016-03-27,60
2016-04-03,49
2016-04-10,66
2016-04-17,100
2016-04-24,40
2016-05-01,47
2016-05-08,45
2016-05-15,24
2016-05-22,50
2016-05-29,30
2016-06-05,44
2016-06-12,23
2016-06-19,74
2016-06-26,23
2016-07-03,79
2016-07-10,30
2016-07-17,46
2016-07-24,49
2016-07-31,36
2016-08-07,58
2016-08-14,27
2016-08-21,28
2016-08-28,52
2016-09-04,63
2016-09-11,28
2016-09-18,55
2016-09-25,48
2016-10-02,36
2016-10-09,86
2016-10-16,21
2016-10-23,82
2016-10-30,71
2016-11-06,31
2016-11-13,98
2016-11-20,52
2016-11-27,32
2016-12-04,33
2016-12-11,31
2016-12-18,21
2016-12-25,0
