Category: All categories

Week,Life insurance: (Portugal)
2012-01-01,27
2012-01-08,31
2012-01-15,27
2012-01-22,37
2012-01-29,37
2012-02-05,45
2012-02-12,66
2012-02-19,45
2012-02-26,32
2012-03-04,50
2012-03-11,65
2012-03-18,47
2012-03-25,51
2012-04-01,100
2012-04-08,49
2012-04-15,44
2012-04-22,67
2012-04-29,94
2012-05-06,43
2012-05-13,42
2012-05-20,32
2012-05-27,18
2012-06-03,0
2012-06-10,0
2012-06-17,0
2012-06-24,44
2012-07-01,34
2012-07-08,22
2012-07-15,39
2012-07-22,0
2012-07-29,32
2012-08-05,41
2012-08-12,16
2012-08-19,22
2012-08-26,0
2012-09-02,15
2012-09-09,62
2012-09-16,30
2012-09-23,30
2012-09-30,17
2012-10-07,31
2012-10-14,31
2012-10-21,19
2012-10-28,31
2012-11-04,0
2012-11-11,27
2012-11-18,33
2012-11-25,13
2012-12-02,34
2012-12-09,15
2012-12-16,16
2012-12-23,0
2012-12-30,37
