Category: All categories

Week,Auto insurance: (Portugal)
2018-01-07,14
2018-01-14,10
2018-01-21,21
2018-01-28,12
2018-02-04,22
2018-02-11,16
2018-02-18,36
2018-02-25,9
2018-03-04,18
2018-03-11,20
2018-03-18,31
2018-03-25,37
2018-04-01,19
2018-04-08,19
2018-04-15,16
2018-04-22,11
2018-04-29,20
2018-05-06,32
2018-05-13,0
2018-05-20,34
2018-05-27,10
2018-06-03,37
2018-06-10,18
2018-06-17,26
2018-06-24,14
2018-07-01,32
2018-07-08,30
2018-07-15,25
2018-07-22,18
2018-07-29,22
2018-08-05,17
2018-08-12,0
2018-08-19,38
2018-08-26,13
2018-09-02,19
2018-09-09,24
2018-09-16,34
2018-09-23,25
2018-09-30,20
2018-10-07,14
2018-10-14,52
2018-10-21,52
2018-10-28,0
2018-11-04,31
2018-11-11,23
2018-11-18,39
2018-11-25,44
2018-12-02,100
2018-12-09,10
2018-12-16,59
2018-12-23,0
2018-12-30,0
