Category: All categories

Week,Health care: (Portugal)
2016-01-03,81
2016-01-10,73
2016-01-17,75
2016-01-24,100
2016-01-31,85
2016-02-07,47
2016-02-14,63
2016-02-21,99
2016-02-28,59
2016-03-06,54
2016-03-13,64
2016-03-20,37
2016-03-27,81
2016-04-03,60
2016-04-10,97
2016-04-17,70
2016-04-24,60
2016-05-01,87
2016-05-08,88
2016-05-15,50
2016-05-22,41
2016-05-29,49
2016-06-05,41
2016-06-12,66
2016-06-19,44
2016-06-26,54
2016-07-03,67
2016-07-10,60
2016-07-17,41
2016-07-24,63
2016-07-31,64
2016-08-07,55
2016-08-14,45
2016-08-21,42
2016-08-28,31
2016-09-04,61
2016-09-11,49
2016-09-18,58
2016-09-25,48
2016-10-02,72
2016-10-09,67
2016-10-16,84
2016-10-23,45
2016-10-30,53
2016-11-06,89
2016-11-13,64
2016-11-20,67
2016-11-27,59
2016-12-04,36
2016-12-11,55
2016-12-18,31
2016-12-25,25
