Category: All categories

Week,Life insurance: (Portugal)
2017-01-01,82
2017-01-08,57
2017-01-15,100
2017-01-22,72
2017-01-29,88
2017-02-05,79
2017-02-12,74
2017-02-19,60
2017-02-26,41
2017-03-05,65
2017-03-12,59
2017-03-19,56
2017-03-26,58
2017-04-02,75
2017-04-09,49
2017-04-16,69
2017-04-23,49
2017-04-30,64
2017-05-07,35
2017-05-14,30
2017-05-21,32
2017-05-28,45
2017-06-04,44
2017-06-11,46
2017-06-18,16
2017-06-25,28
2017-07-02,74
2017-07-09,69
2017-07-16,56
2017-07-23,62
2017-07-30,52
2017-08-06,43
2017-08-13,25
2017-08-20,44
2017-08-27,43
2017-09-03,24
2017-09-10,16
2017-09-17,51
2017-09-24,40
2017-10-01,54
2017-10-08,0
2017-10-15,39
2017-10-22,74
2017-10-29,40
2017-11-05,71
2017-11-12,41
2017-11-19,30
2017-11-26,93
2017-12-03,48
2017-12-10,40
2017-12-17,23
2017-12-24,0
2017-12-31,66
