Category: All categories

Week,Life insurance: (Portugal)
2017-01-01,60
2017-01-08,69
2017-01-15,100
2017-01-22,46
2017-01-29,74
2017-02-05,66
2017-02-12,39
2017-02-19,76
2017-02-26,30
2017-03-05,35
2017-03-12,46
2017-03-19,36
2017-03-26,49
2017-04-02,54
2017-04-09,39
2017-04-16,49
2017-04-23,47
2017-04-30,33
2017-05-07,38
2017-05-14,24
2017-05-21,24
2017-05-28,71
2017-06-04,41
2017-06-11,26
2017-06-18,32
2017-06-25,35
2017-07-02,18
2017-07-09,25
2017-07-16,61
2017-07-23,52
2017-07-30,43
2017-08-06,53
2017-08-13,0
2017-08-20,45
2017-08-27,31
2017-09-03,9
2017-09-10,16
2017-09-17,23
2017-09-24,49
2017-10-01,35
2017-10-08,11
2017-10-15,30
2017-10-22,66
2017-10-29,36
2017-11-05,55
2017-11-12,46
2017-11-19,43
2017-11-26,27
2017-12-03,21
2017-12-10,29
2017-12-17,34
2017-12-24,31
2017-12-31,36
2018-01-07,45
2018-01-14,15
2018-01-21,33
2018-01-28,50
2018-02-04,60
2018-02-11,72
2018-02-18,91
2018-02-25,45
2018-03-04,63
2018-03-11,43
2018-03-18,39
2018-03-25,43
2018-04-01,51
2018-04-08,37
2018-04-15,44
2018-04-22,41
2018-04-29,40
2018-05-06,58
2018-05-13,33
2018-05-20,48
2018-05-27,63
2018-06-03,42
2018-06-10,51
2018-06-17,33
2018-06-24,48
2018-07-01,46
2018-07-08,21
2018-07-15,46
2018-07-22,43
2018-07-29,51
2018-08-05,41
2018-08-12,45
2018-08-19,60
2018-08-26,34
2018-09-02,21
2018-09-09,52
2018-09-16,39
2018-09-23,52
2018-09-30,14
2018-10-07,28
2018-10-14,54
2018-10-21,58
2018-10-28,32
2018-11-04,41
2018-11-11,54
2018-11-18,20
2018-11-25,83
2018-12-02,49
2018-12-09,22
2018-12-16,56
2018-12-23,33
2018-12-30,33
