Category: All categories

Week,Health care: (Portugal)
2016-01-03,57
2016-01-10,70
2016-01-17,75
2016-01-24,100
2016-01-31,68
2016-02-07,44
2016-02-14,78
2016-02-21,71
2016-02-28,72
2016-03-06,65
2016-03-13,72
2016-03-20,43
2016-03-27,64
2016-04-03,69
2016-04-10,96
2016-04-17,68
2016-04-24,64
2016-05-01,89
2016-05-08,59
2016-05-15,49
2016-05-22,52
2016-05-29,72
2016-06-05,50
2016-06-12,62
2016-06-19,43
2016-06-26,67
2016-07-03,56
2016-07-10,56
2016-07-17,48
2016-07-24,51
2016-07-31,39
2016-08-07,73
2016-08-14,33
2016-08-21,59
2016-08-28,15
2016-09-04,63
2016-09-11,54
2016-09-18,85
2016-09-25,26
2016-10-02,73
2016-10-09,53
2016-10-16,58
2016-10-23,52
2016-10-30,50
2016-11-06,50
2016-11-13,75
2016-11-20,58
2016-11-27,54
2016-12-04,41
2016-12-11,59
2016-12-18,14
2016-12-25,29
2017-01-01,47
2017-01-08,82
2017-01-15,53
2017-01-22,16
2017-01-29,47
2017-02-05,54
2017-02-12,74
2017-02-19,51
2017-02-26,50
2017-03-05,66
2017-03-12,46
2017-03-19,59
2017-03-26,57
2017-04-02,58
2017-04-09,36
2017-04-16,56
2017-04-23,45
2017-04-30,50
2017-05-07,66
2017-05-14,49
2017-05-21,56
2017-05-28,36
2017-06-04,53
2017-06-11,38
2017-06-18,48
2017-06-25,54
2017-07-02,37
2017-07-09,47
2017-07-16,40
2017-07-23,36
2017-07-30,46
2017-08-06,37
2017-08-13,46
2017-08-20,37
2017-08-27,56
2017-09-03,0
2017-09-10,57
2017-09-17,75
2017-09-24,36
2017-10-01,50
2017-10-08,30
2017-10-15,41
2017-10-22,51
2017-10-29,34
2017-11-05,50
2017-11-12,35
2017-11-19,50
2017-11-26,53
2017-12-03,42
2017-12-10,36
2017-12-17,31
2017-12-24,39
2017-12-31,55
