Category: All categories

Week,Health care: (Portugal)
2013-01-06,71
2013-01-13,97
2013-01-20,77
2013-01-27,54
2013-02-03,58
2013-02-10,52
2013-02-17,84
2013-02-24,100
2013-03-03,52
2013-03-10,77
2013-03-17,41
2013-03-24,0
2013-03-31,71
2013-04-07,57
2013-04-14,72
2013-04-21,42
2013-04-28,49
2013-05-05,41
2013-05-12,36
2013-05-19,41
2013-05-26,85
2013-06-02,25
2013-06-09,38
2013-06-16,65
2013-06-23,43
2013-06-30,73
2013-07-07,53
2013-07-14,52
2013-07-21,47
2013-07-28,51
2013-08-04,30
2013-08-11,41
2013-08-18,26
2013-08-25,29
2013-09-01,43
2013-09-08,50
2013-09-15,49
2013-09-22,44
2013-09-29,59
2013-10-06,52
2013-10-13,85
2013-10-20,50
2013-10-27,63
2013-11-03,51
2013-11-10,53
2013-11-17,53
2013-11-24,73
2013-12-01,67
2013-12-08,49
2013-12-15,54
2013-12-22,32
2013-12-29,46
