Category: All categories

Week,Life insurance: (Portugal)
2015-01-04,51
2015-01-11,47
2015-01-18,75
2015-01-25,56
2015-02-01,63
2015-02-08,34
2015-02-15,64
2015-02-22,36
2015-03-01,24
2015-03-08,0
2015-03-15,53
2015-03-22,31
2015-03-29,72
2015-04-05,78
2015-04-12,66
2015-04-19,65
2015-04-26,68
2015-05-03,27
2015-05-10,55
2015-05-17,26
2015-05-24,39
2015-05-31,76
2015-06-07,29
2015-06-14,18
2015-06-21,79
2015-06-28,33
2015-07-05,49
2015-07-12,39
2015-07-19,77
2015-07-26,46
2015-08-02,49
2015-08-09,39
2015-08-16,67
2015-08-23,28
2015-08-30,42
2015-09-06,24
2015-09-13,43
2015-09-20,0
2015-09-27,49
2015-10-04,28
2015-10-11,100
2015-10-18,70
2015-10-25,51
2015-11-01,81
2015-11-08,40
2015-11-15,48
2015-11-22,72
2015-11-29,92
2015-12-06,75
2015-12-13,39
2015-12-20,40
2015-12-27,98
