Category: All categories

Week,Health care: (Portugal)
2007-01-07,0
2007-01-14,20
2007-01-21,0
2007-01-28,21
2007-02-04,39
2007-02-11,45
2007-02-18,43
2007-02-25,42
2007-03-04,0
2007-03-11,0
2007-03-18,31
2007-03-25,21
2007-04-01,0
2007-04-08,56
2007-04-15,100
2007-04-22,0
2007-04-29,33
2007-05-06,18
2007-05-13,0
2007-05-20,21
2007-05-27,32
2007-06-03,34
2007-06-10,23
2007-06-17,0
2007-06-24,0
2007-07-01,23
2007-07-08,0
2007-07-15,0
2007-07-22,43
2007-07-29,27
2007-08-05,0
2007-08-12,29
2007-08-19,20
2007-08-26,40
2007-09-02,77
2007-09-09,0
2007-09-16,33
2007-09-23,48
2007-09-30,0
2007-10-07,49
2007-10-14,0
2007-10-21,24
2007-10-28,0
2007-11-04,14
2007-11-11,19
2007-11-18,0
2007-11-25,19
2007-12-02,0
2007-12-09,34
2007-12-16,35
2007-12-23,0
2007-12-30,15
2008-01-06,15
2008-01-13,13
2008-01-20,44
2008-01-27,56
2008-02-03,41
2008-02-10,33
2008-02-17,26
2008-02-24,0
2008-03-02,36
2008-03-09,21
2008-03-16,0
2008-03-23,0
2008-03-30,17
2008-04-06,21
2008-04-13,31
2008-04-20,15
2008-04-27,24
2008-05-04,13
2008-05-11,13
2008-05-18,64
2008-05-25,21
2008-06-01,21
2008-06-08,0
2008-06-15,56
2008-06-22,19
2008-06-29,27
2008-07-06,31
2008-07-13,18
2008-07-20,20
2008-07-27,13
2008-08-03,0
2008-08-10,74
2008-08-17,46
2008-08-24,13
2008-08-31,23
2008-09-07,26
2008-09-14,40
2008-09-21,22
2008-09-28,0
2008-10-05,0
2008-10-12,31
2008-10-19,19
2008-10-26,25
2008-11-02,29
2008-11-09,28
2008-11-16,31
2008-11-23,18
2008-11-30,15
2008-12-07,19
2008-12-14,28
2008-12-21,0
2008-12-28,32
