Category: All categories

Week,Life insurance: (Portugal)
2015-01-04,25
2015-01-11,18
2015-01-18,42
2015-01-25,35
2015-02-01,58
2015-02-08,31
2015-02-15,28
2015-02-22,43
2015-03-01,47
2015-03-08,25
2015-03-15,48
2015-03-22,22
2015-03-29,33
2015-04-05,55
2015-04-12,46
2015-04-19,44
2015-04-26,39
2015-05-03,17
2015-05-10,25
2015-05-17,26
2015-05-24,37
2015-05-31,49
2015-06-07,0
2015-06-14,14
2015-06-21,38
2015-06-28,31
2015-07-05,36
2015-07-12,31
2015-07-19,40
2015-07-26,24
2015-08-02,22
2015-08-09,21
2015-08-16,48
2015-08-23,11
2015-08-30,40
2015-09-06,23
2015-09-13,18
2015-09-20,27
2015-09-27,21
2015-10-04,13
2015-10-11,49
2015-10-18,44
2015-10-25,35
2015-11-01,44
2015-11-08,28
2015-11-15,52
2015-11-22,52
2015-11-29,35
2015-12-06,41
2015-12-13,18
2015-12-20,29
2015-12-27,52
2016-01-03,60
2016-01-10,33
2016-01-17,48
2016-01-24,79
2016-01-31,84
2016-02-07,69
2016-02-14,73
2016-02-21,43
2016-02-28,53
2016-03-06,68
2016-03-13,52
2016-03-20,19
2016-03-27,81
2016-04-03,68
2016-04-10,52
2016-04-17,100
2016-04-24,36
2016-05-01,29
2016-05-08,38
2016-05-15,43
2016-05-22,38
2016-05-29,27
2016-06-05,44
2016-06-12,48
2016-06-19,53
2016-06-26,35
2016-07-03,35
2016-07-10,22
2016-07-17,31
2016-07-24,49
2016-07-31,40
2016-08-07,67
2016-08-14,26
2016-08-21,30
2016-08-28,43
2016-09-04,44
2016-09-11,30
2016-09-18,52
2016-09-25,32
2016-10-02,12
2016-10-09,67
2016-10-16,19
2016-10-23,56
2016-10-30,59
2016-11-06,29
2016-11-13,24
2016-11-20,50
2016-11-27,36
2016-12-04,29
2016-12-11,33
2016-12-18,24
2016-12-25,47
