Category: All categories

Week,Health care: (Portugal)
2013-01-06,96
2013-01-13,99
2013-01-20,72
2013-01-27,55
2013-02-03,55
2013-02-10,62
2013-02-17,98
2013-02-24,87
2013-03-03,43
2013-03-10,100
2013-03-17,20
2013-03-24,34
2013-03-31,72
2013-04-07,62
2013-04-14,73
2013-04-21,51
2013-04-28,49
2013-05-05,48
2013-05-12,47
2013-05-19,38
2013-05-26,88
2013-06-02,39
2013-06-09,30
2013-06-16,53
2013-06-23,41
2013-06-30,39
2013-07-07,49
2013-07-14,56
2013-07-21,43
2013-07-28,36
2013-08-04,44
2013-08-11,48
2013-08-18,20
2013-08-25,33
2013-09-01,51
2013-09-08,47
2013-09-15,55
2013-09-22,55
2013-09-29,70
2013-10-06,85
2013-10-13,60
2013-10-20,65
2013-10-27,71
2013-11-03,61
2013-11-10,50
2013-11-17,58
2013-11-24,72
2013-12-01,68
2013-12-08,70
2013-12-15,58
2013-12-22,22
2013-12-29,63
2014-01-05,70
2014-01-12,79
2014-01-19,77
2014-01-26,87
2014-02-02,54
2014-02-09,81
2014-02-16,79
2014-02-23,57
2014-03-02,74
2014-03-09,74
2014-03-16,59
2014-03-23,55
2014-03-30,73
2014-04-06,52
2014-04-13,56
2014-04-20,42
2014-04-27,48
2014-05-04,63
2014-05-11,85
2014-05-18,64
2014-05-25,51
2014-06-01,72
2014-06-08,75
2014-06-15,52
2014-06-22,62
2014-06-29,49
2014-07-06,75
2014-07-13,47
2014-07-20,61
2014-07-27,47
2014-08-03,11
2014-08-10,83
2014-08-17,36
2014-08-24,51
2014-08-31,46
2014-09-07,62
2014-09-14,46
2014-09-21,66
2014-09-28,58
2014-10-05,68
2014-10-12,54
2014-10-19,59
2014-10-26,77
2014-11-02,75
2014-11-09,56
2014-11-16,73
2014-11-23,66
2014-11-30,49
2014-12-07,53
2014-12-14,53
2014-12-21,69
2014-12-28,69
