Category: All categories

Week,Life insurance: (Portugal)
2012-01-01,59
2012-01-08,0
2012-01-15,62
2012-01-22,40
2012-01-29,23
2012-02-05,36
2012-02-12,0
2012-02-19,22
2012-02-26,28
2012-03-04,52
2012-03-11,53
2012-03-18,53
2012-03-25,27
2012-04-01,100
2012-04-08,65
2012-04-15,66
2012-04-22,82
2012-04-29,47
2012-05-06,32
2012-05-13,77
2012-05-20,33
2012-05-27,59
2012-06-03,33
2012-06-10,34
2012-06-17,56
2012-06-24,0
2012-07-01,30
2012-07-08,14
2012-07-15,52
2012-07-22,0
2012-07-29,49
2012-08-05,54
2012-08-12,32
2012-08-19,18
2012-08-26,0
2012-09-02,28
2012-09-09,46
2012-09-16,19
2012-09-23,39
2012-09-30,29
2012-10-07,36
2012-10-14,14
2012-10-21,39
2012-10-28,20
2012-11-04,37
2012-11-11,12
2012-11-18,25
2012-11-25,26
2012-12-02,51
2012-12-09,32
2012-12-16,14
2012-12-23,0
2012-12-30,34
2013-01-06,37
2013-01-13,0
2013-01-20,52
2013-01-27,0
2013-02-03,0
2013-02-10,22
2013-02-17,48
2013-02-24,39
2013-03-03,50
2013-03-10,11
2013-03-17,44
2013-03-24,56
2013-03-31,84
2013-04-07,64
2013-04-14,38
2013-04-21,55
2013-04-28,47
2013-05-05,76
2013-05-12,35
2013-05-19,47
2013-05-26,69
2013-06-02,36
2013-06-09,0
2013-06-16,22
2013-06-23,0
2013-06-30,36
2013-07-07,0
2013-07-14,31
2013-07-21,24
2013-07-28,27
2013-08-04,55
2013-08-11,15
2013-08-18,37
2013-08-25,35
2013-09-01,30
2013-09-08,0
2013-09-15,23
2013-09-22,49
2013-09-29,40
2013-10-06,41
2013-10-13,24
2013-10-20,78
2013-10-27,10
2013-11-03,23
2013-11-10,33
2013-11-17,15
2013-11-24,27
2013-12-01,28
2013-12-08,39
2013-12-15,13
2013-12-22,35
2013-12-29,37
