Category: All categories

Week,Life insurance: (Portugal)
2014-01-05,26
2014-01-12,39
2014-01-19,49
2014-01-26,72
2014-02-02,45
2014-02-09,51
2014-02-16,60
2014-02-23,34
2014-03-02,0
2014-03-09,25
2014-03-16,68
2014-03-23,57
2014-03-30,71
2014-04-06,80
2014-04-13,88
2014-04-20,38
2014-04-27,53
2014-05-04,73
2014-05-11,34
2014-05-18,31
2014-05-25,47
2014-06-01,0
2014-06-08,0
2014-06-15,20
2014-06-22,15
2014-06-29,34
2014-07-06,61
2014-07-13,100
2014-07-20,55
2014-07-27,0
2014-08-03,69
2014-08-10,47
2014-08-17,27
2014-08-24,45
2014-08-31,45
2014-09-07,55
2014-09-14,47
2014-09-21,49
2014-09-28,25
2014-10-05,51
2014-10-12,34
2014-10-19,26
2014-10-26,39
2014-11-02,39
2014-11-09,22
2014-11-16,72
2014-11-23,61
2014-11-30,0
2014-12-07,21
2014-12-14,0
2014-12-21,37
2014-12-28,46
2015-01-04,41
2015-01-11,30
2015-01-18,70
2015-01-25,58
2015-02-01,97
2015-02-08,51
2015-02-15,47
2015-02-22,72
2015-03-01,79
2015-03-08,42
2015-03-15,80
2015-03-22,37
2015-03-29,55
2015-04-05,91
2015-04-12,77
2015-04-19,74
2015-04-26,64
2015-05-03,28
2015-05-10,41
2015-05-17,42
2015-05-24,62
2015-05-31,81
2015-06-07,0
2015-06-14,24
2015-06-21,63
2015-06-28,51
2015-07-05,59
2015-07-12,52
2015-07-19,67
2015-07-26,39
2015-08-02,37
2015-08-09,34
2015-08-16,80
2015-08-23,18
2015-08-30,67
2015-09-06,39
2015-09-13,30
2015-09-20,45
2015-09-27,34
2015-10-04,21
2015-10-11,82
2015-10-18,74
2015-10-25,58
2015-11-01,73
2015-11-08,46
2015-11-15,87
2015-11-22,87
2015-11-29,58
2015-12-06,68
2015-12-13,30
2015-12-20,49
2015-12-27,87
