Category: All categories

Week,Health care: (Portugal)
2018-01-07,52
2018-01-14,70
2018-01-21,61
2018-01-28,43
2018-02-04,45
2018-02-11,46
2018-02-18,36
2018-02-25,81
2018-03-04,59
2018-03-11,50
2018-03-18,71
2018-03-25,52
2018-04-01,97
2018-04-08,79
2018-04-15,38
2018-04-22,56
2018-04-29,38
2018-05-06,49
2018-05-13,62
2018-05-20,55
2018-05-27,50
2018-06-03,44
2018-06-10,48
2018-06-17,70
2018-06-24,66
2018-07-01,36
2018-07-08,37
2018-07-15,35
2018-07-22,60
2018-07-29,41
2018-08-05,62
2018-08-12,31
2018-08-19,46
2018-08-26,67
2018-09-02,67
2018-09-09,65
2018-09-16,31
2018-09-23,32
2018-09-30,48
2018-10-07,48
2018-10-14,100
2018-10-21,45
2018-10-28,50
2018-11-04,69
2018-11-11,45
2018-11-18,60
2018-11-25,34
2018-12-02,56
2018-12-09,44
2018-12-16,32
2018-12-23,34
2018-12-30,42
