Category: All categories

Week,Health care: (Portugal)
2008-01-06,0
2008-01-13,49
2008-01-20,49
2008-01-27,33
2008-02-03,40
2008-02-10,69
2008-02-17,46
2008-02-24,79
2008-03-02,89
2008-03-09,0
2008-03-16,0
2008-03-23,0
2008-03-30,25
2008-04-06,0
2008-04-13,53
2008-04-20,0
2008-04-27,100
2008-05-04,33
2008-05-11,34
2008-05-18,0
2008-05-25,17
2008-06-01,0
2008-06-08,26
2008-06-15,63
2008-06-22,47
2008-06-29,22
2008-07-06,33
2008-07-13,55
2008-07-20,34
2008-07-27,27
2008-08-03,0
2008-08-10,0
2008-08-17,70
2008-08-24,38
2008-08-31,32
2008-09-07,18
2008-09-14,20
2008-09-21,37
2008-09-28,56
2008-10-05,61
2008-10-12,72
2008-10-19,0
2008-10-26,41
2008-11-02,41
2008-11-09,39
2008-11-16,37
2008-11-23,36
2008-11-30,22
2008-12-07,47
2008-12-14,31
2008-12-21,41
2008-12-28,49
