Category: All categories

Week,Health care: (Portugal)
2015-01-04,92
2015-01-11,73
2015-01-18,86
2015-01-25,100
2015-02-01,67
2015-02-08,69
2015-02-15,59
2015-02-22,51
2015-03-01,47
2015-03-08,60
2015-03-15,53
2015-03-22,44
2015-03-29,45
2015-04-05,46
2015-04-12,56
2015-04-19,67
2015-04-26,42
2015-05-03,74
2015-05-10,87
2015-05-17,53
2015-05-24,72
2015-05-31,31
2015-06-07,66
2015-06-14,42
2015-06-21,72
2015-06-28,67
2015-07-05,87
2015-07-12,58
2015-07-19,44
2015-07-26,73
2015-08-02,62
2015-08-09,23
2015-08-16,30
2015-08-23,39
2015-08-30,66
2015-09-06,47
2015-09-13,45
2015-09-20,59
2015-09-27,63
2015-10-04,66
2015-10-11,90
2015-10-18,34
2015-10-25,73
2015-11-01,43
2015-11-08,65
2015-11-15,62
2015-11-22,76
2015-11-29,66
2015-12-06,51
2015-12-13,71
2015-12-20,57
2015-12-27,41
