Category: All categories

Week,Automotive industry: (Portugal)
2013-01-06,63
2013-01-13,27
2013-01-20,56
2013-01-27,46
2013-02-03,73
2013-02-10,33
2013-02-17,80
2013-02-24,31
2013-03-03,26
2013-03-10,60
2013-03-17,25
2013-03-24,36
2013-03-31,57
2013-04-07,40
2013-04-14,33
2013-04-21,24
2013-04-28,68
2013-05-05,53
2013-05-12,64
2013-05-19,43
2013-05-26,38
2013-06-02,31
2013-06-09,78
2013-06-16,40
2013-06-23,42
2013-06-30,31
2013-07-07,33
2013-07-14,27
2013-07-21,51
2013-07-28,19
2013-08-04,0
2013-08-11,59
2013-08-18,38
2013-08-25,0
2013-09-01,23
2013-09-08,16
2013-09-15,35
2013-09-22,68
2013-09-29,37
2013-10-06,74
2013-10-13,26
2013-10-20,29
2013-10-27,27
2013-11-03,51
2013-11-10,49
2013-11-17,89
2013-11-24,45
2013-12-01,100
2013-12-08,27
2013-12-15,74
2013-12-22,67
2013-12-29,66
2014-01-05,28
2014-01-12,23
2014-01-19,26
2014-01-26,14
2014-02-02,0
2014-02-09,0
2014-02-16,44
2014-02-23,56
2014-03-02,0
2014-03-09,0
2014-03-16,25
2014-03-23,43
2014-03-30,0
2014-04-06,32
2014-04-13,47
2014-04-20,29
2014-04-27,35
2014-05-04,58
2014-05-11,52
2014-05-18,25
2014-05-25,46
2014-06-01,41
2014-06-08,47
2014-06-15,0
2014-06-22,35
2014-06-29,35
2014-07-06,0
2014-07-13,64
2014-07-20,43
2014-07-27,51
2014-08-03,19
2014-08-10,41
2014-08-17,0
2014-08-24,52
2014-08-31,37
2014-09-07,39
2014-09-14,46
2014-09-21,34
2014-09-28,34
2014-10-05,83
2014-10-12,35
2014-10-19,77
2014-10-26,39
2014-11-02,48
2014-11-09,62
2014-11-16,77
2014-11-23,84
2014-11-30,22
2014-12-07,52
2014-12-14,66
2014-12-21,0
2014-12-28,0
